,city,day,temperature,real_feel,humidity
0,Aigues-Mortes,2023-04-14,12.204,11.212,66.4
1,Aigues-Mortes,2023-04-15,13.98,12.80625,52.625
2,Aigues-Mortes,2023-04-16,14.47125,13.285,50.25
3,Aigues-Mortes,2023-04-17,14.6225,13.50375,52.125
4,Aigues-Mortes,2023-04-18,12.6725,11.82,69.875
5,Aigues-Mortes,2023-04-19,10.686666666666667,9.803333333333333,76.33333333333333
6,Aix-en-Provence,2023-04-14,11.406,9.928,67.0
7,Aix-en-Provence,2023-04-15,11.2325,8.5425,63.125
8,Aix-en-Provence,2023-04-16,12.30625,10.66875,53.25
9,Aix-en-Provence,2023-04-17,13.49375,12.338750000000001,52.375
10,Aix-en-Provence,2023-04-18,12.405,11.56125,71.25
11,Aix-en-Provence,2023-04-19,9.583333333333334,8.590000000000002,85.33333333333333
12,Amiens,2023-04-14,8.386,6.134,79.0
13,Amiens,2023-04-15,8.415,6.8675,85.5
14,Amiens,2023-04-16,8.44375,7.325,79.375
15,Amiens,2023-04-17,8.615,7.03875,80.375
16,Amiens,2023-04-18,8.49,5.495,67.625
17,Amiens,2023-04-19,6.1933333333333325,2.3800000000000003,77.66666666666667
18,Annecy,2023-04-14,8.280000000000001,7.822,72.0
19,Annecy,2023-04-15,5.11375,4.71125,98.625
20,Annecy,2023-04-16,5.96375,5.56375,97.5
21,Annecy,2023-04-17,7.9275,6.855,87.625
22,Annecy,2023-04-18,7.405,6.9275,86.0
23,Annecy,2023-04-19,5.873333333333334,5.396666666666666,93.66666666666667
24,Avignon,2023-04-14,11.872,10.856,66.6
25,Avignon,2023-04-15,12.3,10.665000000000001,60.625
26,Avignon,2023-04-16,11.9675,10.875,63.375
27,Avignon,2023-04-17,13.48125,11.73375,58.25
28,Avignon,2023-04-18,13.42625,12.51375,67.75
29,Avignon,2023-04-19,9.373333333333333,8.553333333333333,84.66666666666667
30,Bauduen,2023-04-14,8.148,5.738,62.6
31,Bauduen,2023-04-15,6.33625,3.18375,74.875
32,Bauduen,2023-04-16,8.49875,6.532500000000001,55.5
33,Bauduen,2023-04-17,8.54125,7.25625,71.0
34,Bauduen,2023-04-18,7.89625,7.0675,80.375
35,Bauduen,2023-04-19,5.3500000000000005,4.056666666666667,85.33333333333333
36,Bayeux,2023-04-14,8.126000000000001,5.106,92.8
37,Bayeux,2023-04-15,8.23875,5.73875,81.125
38,Bayeux,2023-04-16,7.976249999999999,6.83,84.375
39,Bayeux,2023-04-17,9.2375,7.33125,87.25
40,Bayeux,2023-04-18,9.0325,6.10875,78.375
41,Bayeux,2023-04-19,7.336666666666666,3.3200000000000003,74.33333333333333
42,Besançon,2023-04-14,9.026,8.264,74.4
43,Besançon,2023-04-15,6.37125,4.578749999999999,97.25
44,Besançon,2023-04-16,7.03375,5.99875,97.125
45,Besançon,2023-04-17,9.60875,8.435,81.0
46,Besançon,2023-04-18,8.73,6.6000000000000005,79.0
47,Besançon,2023-04-19,5.906666666666666,3.8266666666666667,93.33333333333333
48,Bormes-les-Mimosas,2023-04-14,13.378,12.254,56.8
49,Bormes-les-Mimosas,2023-04-15,13.22625,12.065,56.0
50,Bormes-les-Mimosas,2023-04-16,12.735,11.11125,52.125
51,Bormes-les-Mimosas,2023-04-17,12.998750000000001,12.0625,64.25
52,Bormes-les-Mimosas,2023-04-18,12.963750000000001,12.09,68.0
53,Bormes-les-Mimosas,2023-04-19,10.906666666666666,10.056666666666667,76.66666666666667
54,Carcassonne,2023-04-14,11.934000000000001,11.416,81.6
55,Carcassonne,2023-04-15,11.46875,10.33625,75.625
56,Carcassonne,2023-04-16,10.655000000000001,8.38375,73.875
57,Carcassonne,2023-04-17,11.27125,9.54875,66.75
58,Carcassonne,2023-04-18,12.13375,10.84125,63.875
59,Carcassonne,2023-04-19,9.246666666666668,7.8566666666666665,84.0
60,Cassis,2023-04-14,12.032,11.117999999999999,70.0
61,Cassis,2023-04-15,12.83,11.90125,66.375
62,Cassis,2023-04-16,14.06625,12.96125,54.875
63,Cassis,2023-04-17,14.5325,13.5125,56.375
64,Cassis,2023-04-18,12.83875,12.045,71.5
65,Cassis,2023-04-19,11.92,10.986666666666666,69.66666666666667
66,Collioure,2023-04-14,13.930000000000001,13.084,65.2
67,Collioure,2023-04-15,14.313749999999999,13.29625,57.25
68,Collioure,2023-04-16,14.040000000000001,12.932500000000001,54.875
69,Collioure,2023-04-17,14.715,13.575,51.0
